940GZZLULRD;Latimer Road Underground Station;51.513394;-0.217797
940GZZLUEUS;Euston Underground Station;51.528004;-0.133781
940GZZDLSHA;Shadwell DLR Station;51.511697;-0.056637
940GZZLUECT;Earl's Court Underground Station;51.492067;-0.193376
940GZZLUKOY;Kensington (Olympia) Underground Station;51.497628;-0.210013
940GZZLUDGY;Dagenham Heathway Underground Station;51.541644;0.147539
910GCHESHNT;Cheshunt Rail Station;51.702877;-0.023952
940GZZLUSBM;Shepherd's Bush Market Underground Station;51.505583;-0.226373
940GZZLUHWY;Holloway Road Underground Station;51.552702;-0.113239
910GWDST;Wood Street Rail Station;51.586587;-0.002397
940GZZLUTPN;Turnpike Lane Underground Station;51.590279;-0.102947
940GZZLUBST;Baker Street Underground Station;51.522888;-0.157127
940GZZDLKGV;King George V DLR Station;51.502007;0.062633
940GZZLURSM;Ruislip Manor Underground Station;51.5732;-0.412963
910GDALS;Dalston Junction Rail Station;51.546121;-0.075131
940GZZLUSGT;Southgate Underground Station;51.632323;-0.127811
910GCRYSTLP;Crystal Palace Rail Station;51.418111;-0.072605
910GSHPDSB;Shepherds Bush Rail Station;51.505289;-0.217652
940GZZLUGTH;Gants Hill Underground Station;51.57655;0.066195
940GZZLUASG;Arnos Grove Underground Station;51.616454;-0.133058
940GZZLUPRD;Preston Road Underground Station;51.571979;-0.295107
910GWNSTDPK;Wanstead Park Rail Station;51.551698;0.026222
940GZZLUCPK;Canons Park Underground Station;51.6077;-0.294693
940GZZLUMPK;Moor Park Underground Station;51.629844;-0.432443
910GUPRHLWY;Upper Holloway Rail Station;51.563637;-0.129508
940GZZLURYL;Rayners Lane Underground Station;51.575154;-0.37113
940GZZLUFCN;Farringdon Underground Station;51.520257;-0.104908
940GZZLUBND;Bond Street Underground Station;51.514309;-0.149719
940GZZLURYO;Royal Oak Underground Station;51.519118;-0.188745
940GZZLUEHM;East Ham Underground Station;51.538953;0.051195
940GZZLUWKA;Warwick Avenue Underground Station;51.523268;-0.18378
940GZZLUERB;Edgware Road (Bakerloo) Underground Station;51.520304;-0.170147
940GZZLUSHH;South Harrow Underground Station;51.564894;-0.352494
910GGNRSBRY;Gunnersbury Rail Station;51.491682;-0.275286
940GZZLUBKE;Barkingside Underground Station;51.585695;0.088596
910GCSEAH;Imperial Wharf Rail Station;51.474953;-0.18282
910GBUSHEY;Bushey Rail Station;51.645582;-0.384752
940GZZLUQPS;Queen's Park Underground Station;51.534163;-0.204571
910GQPRK;Queens Park (London) Rail Station;51.533972;-0.204983
940GZZLUBSC;Barons Court Underground Station;51.490315;-0.213425
940GZZDLISL;Island Gardens DLR Station;51.487814;-0.010132
910GWMBY;Wembley Central Rail Station;51.552331;-0.296433
940GZZLUMED;Mile End Underground Station;51.525127;-0.033633
940GZZLUNOW;Northwood Underground Station;51.611052;-0.423818
940GZZLUWRP;West Ruislip Underground Station;51.569686;-0.437875
940GZZLUWAF;Watford Underground Station;51.657446;-0.41738
940GZZLUWRR;Warren Street Underground Station;51.524956;-0.138317
940GZZLUESQ;Euston Square Underground Station;51.525609;-0.135825
940GZZDLCUT;Cutty Sark (for Maritime Greenwich) DLR Station;51.481675;-0.010802
940GZZLUSGN;Stepney Green Underground Station;51.521863;-0.046589
940GZZLULAD;Ladbroke Grove Underground Station;51.517454;-0.210389
940GZZLUUPK;Upton Park Underground Station;51.535345;0.035272
940GZZLUBLR;Blackhorse Road Underground Station;51.586925;-0.041143
940GZZLUTCR;Tottenham Court Road Underground Station;51.516431;-0.130406
910GCNDAW;Canada Water Rail Station;51.497994;-0.049713
940GZZLUWTA;West Acton Underground Station;51.518006;-0.28098
940GZZDLBNK;Bank DLR Station;51.513237;-0.088509
940GZZLUBKF;Blackfriars Underground Station;51.511586;-0.103654
940GZZLUSGP;Stonebridge Park Underground Station;51.543965;-0.275891
940GZZLUWYP;Wembley Park Underground Station;51.563204;-0.279261
940GZZDLTWG;Tower Gateway DLR Station;51.510621;-0.074813
940GZZLUTNG;Turnham Green Underground Station;51.495152;-0.254554
940GZZDLSTD;Stratford DLR Station;51.541763;-0.003279
940GZZLUBOS;Boston Manor Underground Station;51.495639;-0.324941
910GENFLDTN;Enfield Town Rail Station;51.652034;-0.079321
940GZZLUCHX;Charing Cross Underground Station;51.507415;-0.127273
940GZZLUNBP;Newbury Park Underground Station;51.575732;0.090015
940GZZLUHPK;Holland Park Underground Station;51.507148;-0.205677
910GACTNCTL;Acton Central Rail Station;51.508721;-0.26297
